q_num,q_statement,A,B,C,D,ans,explain,E
284,What does AWS Marketplace allow users to do? (Choose two.), Sell unused Amazon EC2 Spot Instances., Sell solutions to other AWS users., Buy third-party software that runs on AWS., Purchase AWS security and compliance documents., BC,https://aws.amazon.com/marketplace, Order AWS Snowball.
285,What does it mean if a user deploys a hybrid cloud architecture on AWS?, All resources run using on-premises infrastructure., Some resources run on-premises and some run in a colocation center., All resources run in the AWS Cloud., Some resources run on-premises and some run in the AWS Cloud., D,https://aws.amazon.com/hybrid/,
286,Which AWS service allows users to identify the changes made to a resource over time?, Amazon Inspector, AWS Config, AWS Service Catalog, AWS IAM, B,https://docs.aws.amazon.com/config/latest/developerguide/view-manage-resource.html,
287,How can a company reduce its Total Cost of Ownership (TCO) using AWS?, By minimizing large capital expenditures, By having no responsibility for third-party license costs, By having no operational expenditures, By having AWS manage applications, A,AWS helps you reduce Total Cost of Ownership (TCO) by reducing the need to invest inlarge capital expenditures and providing a pay-as-you-go model that empowers you toinvest in the capacity you need and use it only when the business requires it.Reference: https://aws.amazon.com/tco-calculator/,
288,Which activity is a customer responsibility in the AWS Cloud according to the AWS sharedresponsibility model?, Ensuring network connectivity from AWS to the internet, Patching and fixing flaws within the AWS Cloud infrastructure, Ensuring the physical security of cloud data centers, Ensuring Amazon EBS volumes are backed up, D,https://aws.amazon.com/blogs/security/the-aws-shared-responsibility-model-and-gdpr/,
289,What are the advantages of the AWS Cloud? (Choose two.), Fixed rate monthly cost, No need to guess capacity requirements, Increased speed to market, Increased upfront capital expenditure, BC,https://data-flair.training/blogs/aws-advantages/, Physical access to cloud data centers
290,"When comparing the total cost of ownership (TCO) of an on-premises infrastructure to acloudarchitecture, what costs should be considered? (Choose two.)", The credit card processing fees for application transactions in the cloud., The cost of purchasing and installing server hardware in the on-premises data.," The cost of administering the infrastructure, including operating system and software", The costs of third-party penetration testing., BC,"installations,patches, backups, and recovering from failures.https://aws.amazon.com/tco-calculator/", The advertising costs associated with an ongoing enterprise-wide campaign.
291,Which AWS feature allows a company to take advantage of usage tiers for servicesacross multiple member accounts?, Service control policies (SCPs), Consolidated billing, All Upfront Reserved Instances, AWS Cost Explorer, B,https://aws.amazon.com/tco-calculator/,
292,What is one of the customer's responsibilities according to the AWS shared responsibilitymodel?, Virtualization infrastructure, Network infrastructure, Application security, Physical security of hardware, C,https://cloudacademy.com/blog/aws-shared-responsibility-model-security/,
293,What helps a company provide a lower latency experience to its users globally?, Using an AWS Region that is central to all users, Using a second Availability Zone in the AWS Region that is using used, Enabling caching in the AWS Region that is being used, Using edge locations to put content closer to all users, D,,
294,How can the AWS Cloud increase user workforce productivity after migration from anon-premises data center?, Users do not have to wait for infrastructure provisioning., The AWS Cloud infrastructure is much faster than an on-premises data center, AWS takes over application configuration management on behalf of users., Users do not need to address security and compliance issues., A,infrastructure.https://d1.awsstatic.com/whitepapers/Migration/aws-migration-whitepaper.pdf,
295,Which AWS service provides a quick and automated way to create and manage AWSaccounts?, AWS QuickSight, Amazon Lightsail, AWS Organizations, Amazon Connect, C,https://aws.amazon.com/blogs/mt/automate-account-creation-and-resource-provisioningusing-awsservice-catalog-aws-organizations-and-aws-lambda/,
296,Which Amazon RDS feature can be used to achieve high availability?, Multiple Availability Zones, Amazon Reserved Instances, Provisioned IOPS storage, Enhanced monitoring, A,"Amazon RDS provides high availability and failover support for DB instances usingMulti-AZ deployments.Amazon RDS uses several different technologies to provide failover support. Multi-AZdeployments for Oracle, PostgreSQL, MySQL, and MariaDB DB instances use Amazon'sfailover technology. SQL Server DB instances use SQL Server Database Mirroring (DBM).Reference:https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.html",
297,Where should users report that AWS resources are being used for malicious purposes?, AWS Abuse team, AWS Shield, AWS Support, AWS Developer Forums, A,https://aws.amazon.com/premiumsupport/knowledge-center/report-aws-abuse/,
298,Which AWS service needs to be enabled to track all user account changes within the AWSManagement Console?, AWS CloudTrail, Amazon Simple Notification Service (Amazon SNS), VPC Flow Logs, AWS CloudHSM, A,"AWS CloudTrail is a service that enables governance, compliance, operational auditing,and risk auditing of your AWS account. With CloudTrail, you can log, continuously monitor,and retain account activity related to actions across your AWS infrastructure. CloudTrailprovides event history of your AWS account activity, including actions taken through theAWS Management Console, AWS SDKs, command line tools,and other AWS services.This event history simplifies security analysis, resource change tracking, andtroubleshooting. In addition, you can use CloudTrail to detect unusual activity in your AWSaccounts.These capabilities help simplify operational analysis and troubleshooting.Reference: https://aws.amazon.com/cloudtrail/",
